VegID,CommonName,GenusGroup,Family,GrowthForm,Type,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,EF9,EF10,EF11,EF12,EF13,EF14,EF15,EF16,EF17,EF18,EF19,LDF3,LDF4,LDF5,LDF6,References,Comment
GFUnk,,Unknown,Unknown,Unknown,GF,4,0.05,0.4,0.35,0.12,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gilbertiodendron dewevrei,,Gilbertiodendron,Fabaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Ginkgo,ginkgo,Ginkgo,Ginkgoaceae,Ntr,genus,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Ginkgo biloba,maidenhair tree,Ginkgo,Ginkgoaceae,Ntr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gleditsia,honeylocust,Gleditsia,Fabaceae,Btr,species,0.003,0.003,0.15,0.15,0.08,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gleditsia aquatica,water locust,Gleditsia,Fabaceae,Btr,species,0.003,0.003,0.15,0.15,0.08,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gleditsia sinensis,,Gleditsia,Fabaceae,Unknown,species,0.003,0.003,0.15,0.15,0.08,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gleditsia texana,,Gleditsia,Fabaceae,Unknown,species,0.003,0.003,0.15,0.15,0.08,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gleditsia triacanthos,honeylocust,Gleditsia,Fabaceae,Btr,species,0.003,0.003,0.15,0.15,0.08,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gliricidia sepum,,Gliricidia,Fabaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Glycine max,soybean,Glycine,Fabaceae,Herb,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Glyphea brevis,,Glyphea,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Glyptostrobus lineatus,,Glyptostrobus,Cupressaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gmelina arborea,gumhar,Gmelina,Verbenaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Godmania aesqualifolia,,Godmania,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Goniothalamus griffithii,,Goniothalamus,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gordonia lasianthus,loblolly bay,Gordonia,Theaceae,Btr,species,0.003,0.003,0.2,0.2,0.08,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gossypium barbadense,Creole cotton,Gossypium,Malvaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gossypium hirsutum,upland cotton,Gossypium,Malvaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gouania lupuloides,whiteroot,Gouania,Rhamnaceae,Shrub,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Grevillea banksii,kahiliflower,Grevillea,Proteaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Grevillea robusta,silkoak,Grevillea,Proteaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Grevillea rosmarinifolia,,Grevillea,Proteaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Grewia bicolor,,Grewia,Tiliaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Grewia flavescens,,Grewia,Tiliaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Grewia hexamita,,Grewia,Tiliaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Grewia mollis,,Grewia,Tiliaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Guaiacum oficinale,,Guaiacum,Zygophyllaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Guarea,guarea,Guarea,Meliaceae,Btr,genus,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Guarea grandifolia,,Guarea,Meliaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Guatteria,guatteria,Guatteria,Annonaceae,Btr,genus,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Guatteria dumerdum,,Guatteria,Annonaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Guazuma ulmifolia,bastardcedar,Guazuma,Sterculiaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Guetterda elliptica,,Guetterda,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Guetterda krugii,,Guetterda,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Guibourtia,,Guibourtia,Fabaceae,Unknown,genus,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Guibourtia coleosperma,Rhodesian copalwood,Guibourtia,Fabaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Guibourtia demeusei,,Guibourtia,Fabaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gurania seemaniana,,Gurania,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gymnanthes lucida,oysterwood,Gymnanthes,Euphorbiaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gymnocladus dioica,,Gymnocladus,Fabaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Gymnocladus dioicus,Kentucky coffeetree,Gymnocladus,Fabaceae,Btr,species,0.003,0.003,0.15,0.15,0.08,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hakea oleifolia,,Hakea,Proteaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hakea suaveolens,,Hakea,Proteaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Halesia,silverbell,Halesia,Styracaceae,Btr,genus,6,0.003,0.15,0.2,0.08,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Halesia carolina,Carolina silverbell,Halesia,Styracaceae,Btr,species,3,0.003,0.074,0.065,0.017,0.097,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hamamelidaceae,,Hamamelidaceae,Hamamelidaceae,Unknown,family,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hamamelis jelena,,Hamamelis,Hamamelidaceae,Unknown,species,8,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hamamelis virginiana,American witchhazel,Hamamelis,Hamamelidaceae,Btr,species,8,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Handroanthus,,Handroanthus,Bignoniaceae,Btr,genus,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Handroanthus chrysotrichus,Golden trumpet tree,Handroanthus,Bignoniaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Handroanthus heptaphyllus,,Handroanthus,Bignoniaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Handroanthus heterophylla,,Handroanthus,Bignoniaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Handroanthus impetiginosus,Handroanthus avellanedae,Handroanthus,Bignoniaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Haplopappus ericoides,,Haplopappus,Asteraceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Harpephyllum caffrum,,Harpephyllum,Anacardiaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Harpullia arborea,tulip-wood tree,Harpullia,Sapindaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Harpullia pendula,,Harpullia,Sapindaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hartia sinensis,,Hartia,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Harungana madagascariensis,,Harungana,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Haumania danckelmaniana,,Haumania,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hedera helix,English ivy,Hedera,Araliaceae,Shrub,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hedychium,garland-lily,Hedychium,Zingiberaceae,Herb,genus,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Helianthus annuus,common sunflower,Helianthus,Asteraceae,Herb,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Helichrysum stoechas,,Helichrysum,Asteraceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Helicostylis,,Helicostylis,Moraceae,Btr,genus,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hernandia nymphaeaefolia,,Hernandia,Hernandiaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hesperocyparis arizonica,,Hesperocyparis,Cupressaceae,Ntr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hesperocyparis macrocarpa,,Hesperocyparis,Cupressaceae,Ntr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hesperocyparis nevadensis,,Hesperocyparis,Cupressaceae,Ntr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Heteromeles arbutifolia,toyon,Heteromeles,Rosaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Heteropogon contortus,tanglehead,Heteropogon,Poaceae,Herb,species,0.1,0.003,0.15,0.2,0.08,0.12,0.03,0.05,0.01,0.01,1.6,0.2,0.35,0.1,1,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Heteropyxis natalensis,,Heteropyxis,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hevea brasiliensis,rubber tree,Hevea,Euphorbiaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hevea guianensis,,Hevea,Euphorbiaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hevea spruceana,,Hevea,Euphorbiaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hexalobus monopetalus,,Hexalobus,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hibiscus,rosemallow,Hibiscus,Malvaceae,Btr,genus,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hibiscus esculentus,,Hibiscus,Malvaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hibiscus rosa-sinensis,shoeblackplant,Hibiscus,Malvaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hibiscus syriacus,rose of Sharon,Hibiscus,Malvaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hibiscus tiliaceus,sea hibiscus,Hibiscus,Malvaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hippocastanaceae,,Hippocastanaceae,Hippocastanaceae,Unknown,family,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Holacantha emoryi,,Holacantha,Simaroubaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Holcus lanatus,common velvetgrass,Holcus,Poaceae,Herb,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Holocarpha,tarweed,Holocarpha,Asteraceae,Herb,genus,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Homalium dentatus,,Homalium,Flacourtiaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Homalium laoticum,,Homalium,Flacourtiaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Homonoia riparia,,Homonoia,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hopea nervosa,,Hopea,Dipterocarpaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hopea nutans,,Hopea,Dipterocarpaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hopea sangal,,Hopea,Dipterocarpaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hordeum vulgare,common barley,Hordeum,Poaceae,Herb,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Horsfieldia amygdalina,,Horsfieldia,Myristicaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Horsfieldia pandurifolia,,Horsfieldia,Myristicaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Houmiria,,Houmiria,TBD,Unknown,genus,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Howea forsteriana,,Howea,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Humulus lupulus,common hop,Humulus,Cannabaceae,Shrub,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hydrophyllaceae,,Hydrophyllaceae,Hydrophyllaceae,Unknown,family,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hylocomium splendens,,Hylocomium,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hymenaea courbari,,Hymenaea,Fabaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hymenaea courbaril,stinkingtoe,Hymenaea,Fabaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hymenocardia acida,,Hymenocardia,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hymenoclea salsola,burrobrush,Hymenoclea,Asteraceae,Shrub,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hymenosporum flavum,,Hymenosporum,Pittosporaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hymenostegia floribunda,,Hymenostegia,TBD,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hypelate trifoliata,inkwood,Hypelate,Sapindaceae,Btr,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hypericum calycinum,Aaron's beard,Hypericum,Clusiaceae,Shrub,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hypericum kalmianum,Kalm's St. Johnswort,Hypericum,Clusiaceae,Shrub,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hypericum lanceolatum,,Hypericum,Clusiaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Hypericum patulum,,Hypericum,Clusiaceae,Unknown,species,6,0.01,0.4,0.3,0.18,0.25,0.03,0.05,0.06,0.04,1.4,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
